"","country_region_code","country_region","sub_country","sub_region_1","sub_region_2","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"69978","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-16,2,-1,NA,NA,-3,NA
"69979","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-17,4,2,NA,0,0,0
"69980","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-18,2,-1,NA,0,2,0
"69981","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-19,-5,-2,NA,3,2,0
"69982","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-20,0,2,NA,-4,2,0
"69983","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-21,-4,-6,NA,-8,-3,2
"69984","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-22,5,1,-62,-7,-2,NA
"69985","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-23,16,4,-59,NA,1,NA
"69986","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-24,8,2,NA,-4,1,1
"69987","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-25,11,7,NA,0,1,0
"69988","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-26,4,0,NA,-1,1,0
"69989","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-27,7,3,NA,0,1,0
"69990","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-28,0,4,NA,-5,-2,1
"69991","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-02-29,12,2,NA,2,-2,NA
"69992","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-01,8,3,-73,NA,-2,NA
"69993","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-02,14,10,NA,3,0,0
"69994","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-03,10,7,NA,-5,2,0
"69995","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-04,14,8,NA,5,1,-1
"69996","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-05,13,12,NA,1,1,0
"69997","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-06,5,9,NA,-3,-2,0
"69998","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-07,2,2,NA,-5,-1,NA
"69999","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-08,16,4,-46,NA,-2,NA
"70000","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-09,9,9,NA,-4,-1,1
"70001","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-10,5,6,NA,-11,-1,1
"70002","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-11,4,7,NA,-5,-2,2
"70003","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-12,3,18,NA,-12,-1,2
"70004","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-13,5,21,NA,-12,-4,2
"70005","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-14,4,19,NA,-20,-1,NA
"70006","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-15,17,21,-41,NA,-8,NA
"70007","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-16,5,28,NA,-18,-12,5
"70008","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-17,0,29,NA,-37,-20,9
"70009","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-18,-4,34,NA,-32,-27,12
"70010","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-19,0,46,NA,-32,-30,12
"70011","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-20,-7,24,NA,-35,-32,13
"70012","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-21,-26,17,NA,-35,-27,NA
"70013","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-22,-23,-5,-20,NA,-35,NA
"70014","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-23,-26,3,NA,-51,-53,19
"70015","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-24,-61,-15,NA,-71,-67,NA
"70016","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-25,-65,-16,-71,-70,-73,NA
"70017","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-26,-63,-13,-56,-67,-74,NA
"70018","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-27,-68,-17,-56,-69,-76,NA
"70019","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-28,-71,-20,NA,-56,-62,NA
"70020","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-29,-63,-29,-54,-51,-56,NA
"70021","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-30,-56,-16,NA,-65,-77,NA
"70022","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-03-31,-61,-14,NA,-66,-77,NA
"70023","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-01,-65,-19,-62,-66,-76,NA
"70024","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-02,-63,-15,-68,-68,-77,NA
"70025","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-03,-65,-19,-59,-69,-77,NA
"70026","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-04,-70,-17,-59,-60,-61,NA
"70027","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-05,-64,-26,-51,-46,-56,NA
"70028","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-06,NA,-16,NA,-62,-78,NA
"70029","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-07,NA,-15,NA,-61,-78,NA
"70030","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-08,NA,-15,-53,-59,-77,NA
"70031","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-09,NA,-10,-59,-64,-77,NA
"70032","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-10,-62,-14,NA,-60,-82,NA
"70033","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-11,-69,-17,NA,-53,-59,NA
"70034","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-12,NA,-30,-46,NA,-56,NA
"70035","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-13,NA,-29,NA,-61,-85,NA
"70036","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-14,NA,-16,NA,-62,-77,NA
"70037","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-15,NA,-16,NA,-59,-76,NA
"70038","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-16,NA,-15,NA,-64,-76,NA
"70039","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-17,-64,-15,NA,-60,-76,NA
"70040","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-18,-64,-19,NA,-46,-54,NA
"70041","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-19,NA,-24,-35,NA,-53,NA
"70042","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-20,NA,-18,NA,-56,-75,NA
"70043","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-21,NA,-14,NA,-60,-76,NA
"70044","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-22,-59,-18,NA,-59,-74,NA
"70045","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-23,-55,-13,NA,-56,-74,NA
"70046","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-24,-56,-14,NA,-57,-75,NA
"70047","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-25,-60,-15,NA,-47,-52,NA
"70048","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-26,NA,-21,-37,NA,-50,NA
"70049","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-27,NA,-18,NA,-61,-75,NA
"70050","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-28,NA,-17,NA,-64,-74,NA
"70051","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-29,-62,-21,-66,-65,-73,NA
"70052","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-04-30,-54,-15,NA,-62,-73,NA
"70053","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-01,-54,-13,NA,-54,-73,NA
"70054","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-02,-57,-14,NA,-38,-53,NA
"70055","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-03,NA,-18,-31,NA,-47,NA
"70056","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-04,NA,-18,NA,-59,-75,NA
"70057","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-05,NA,-12,NA,-57,-73,NA
"70058","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-06,NA,-14,NA,-48,-71,NA
"70059","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-07,-48,-5,NA,-57,-72,NA
"70060","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-08,-50,-9,NA,-58,-77,NA
"70061","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-09,-54,-12,NA,-42,-49,NA
"70062","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-10,NA,-21,-46,NA,-48,NA
"70063","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-11,NA,-12,NA,-54,-71,NA
"70064","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-12,NA,-9,NA,-57,-71,NA
"70065","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-13,NA,-11,NA,-48,-70,NA
"70066","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-14,-43,-8,NA,-56,-70,NA
"70067","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-15,-53,-13,NA,-58,-70,NA
"70068","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-16,-53,-9,NA,-41,-51,NA
"70069","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-17,-54,-26,-65,-54,-46,NA
"70070","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-18,-46,-13,NA,-60,-70,NA
"70071","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-19,-45,-11,NA,-58,-70,NA
"70072","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-20,-46,-8,NA,-54,-68,NA
"70073","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-21,-46,-6,NA,-55,-70,NA
"70074","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-22,-58,-13,-62,-65,-69,NA
"70075","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-23,-68,-21,-76,-66,-46,NA
"70076","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-24,-45,-17,-40,NA,-40,NA
"70077","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-25,-41,-12,NA,-51,-77,NA
"70078","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-26,-43,-7,NA,-52,-68,NA
"70079","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-27,-45,-3,NA,-52,-67,NA
"70080","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-28,-39,2,NA,-49,-67,NA
"70081","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-29,-46,2,NA,-45,-66,NA
"70082","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-30,-49,5,NA,-22,-29,NA
"70083","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-05-31,-31,-3,NA,NA,-25,NA
"70084","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-01,-35,-2,NA,-43,-65,NA
"70085","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-02,-40,-5,NA,-54,-66,NA
"70086","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-03,-43,-7,NA,-50,-64,NA
"70087","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-04,-44,-3,NA,-54,-65,NA
"70088","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-05,-46,-6,NA,-54,-64,NA
"70089","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-06,-45,-1,NA,-42,-31,NA
"70090","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-07,-30,-9,NA,NA,-22,NA
"70091","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-08,-33,-5,NA,-51,-61,NA
"70092","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-09,-38,-2,NA,-57,-63,NA
"70093","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-10,-51,-15,-51,-65,-63,NA
"70094","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-11,-30,-1,NA,-54,-61,NA
"70095","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-12,-41,-6,NA,-50,-60,NA
"70096","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-13,-49,-8,NA,-50,-31,NA
"70097","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-14,-20,-10,NA,NA,-17,NA
"70098","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-15,-24,-2,NA,-52,-60,NA
"70099","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-16,-30,3,NA,-50,-61,NA
"70100","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-17,-32,0,NA,-48,-61,NA
"70101","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-18,-24,4,NA,-47,-60,NA
"70102","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-19,-40,-4,NA,-50,-61,NA
"70103","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-20,-32,10,NA,-33,-20,NA
"70104","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-21,-36,-7,-34,NA,-11,NA
"70105","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-22,-38,-10,NA,-55,-63,NA
"70106","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-23,-42,-3,NA,-57,-63,NA
"70107","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-24,-27,1,NA,-46,-59,20
"70108","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-25,-21,10,NA,-44,-60,NA
"70109","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-26,-43,-3,NA,-52,-62,NA
"70110","GB","United Kingdom","Scotland","East Renfrewshire Council","","GB-ERW",NA,2020-06-27,-42,-1,NA,-31,-26,NA
"70111","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-15,-13,-8,-29,-1,-5,2
"70112","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-16,-7,-6,-28,12,-4,1
"70113","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-17,10,-1,26,6,-17,2
"70114","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-18,12,-1,38,10,-16,3
"70115","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-19,10,-2,38,4,-16,2
"70116","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-20,6,-1,17,2,-17,3
"70117","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-21,7,-1,20,5,-18,3
"70118","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-22,-4,-2,-3,8,-3,1
"70119","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-23,4,0,-6,21,-1,0
"70120","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-24,-5,-4,-11,4,-2,1
"70121","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-25,0,5,7,10,1,1
"70122","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-26,3,-2,10,8,1,0
"70123","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-27,2,3,10,2,0,0
"70124","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-28,0,0,-14,-4,-1,1
"70125","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-02-29,1,1,-17,-3,-1,0
"70126","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-01,9,5,12,6,0,-1
"70127","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-02,7,3,21,4,1,0
"70128","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-03,4,3,22,1,0,0
"70129","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-04,8,5,22,2,0,0
"70130","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-05,7,7,29,2,1,0
"70131","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-06,9,6,53,7,0,0
"70132","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-07,6,6,60,5,4,-1
"70133","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-08,12,10,42,12,1,-1
"70134","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-09,2,5,17,1,1,1
"70135","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-10,3,6,19,6,1,1
"70136","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-11,5,4,29,3,0,1
"70137","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-12,4,11,15,12,0,1
"70138","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-13,6,11,41,14,-2,1
"70139","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-14,2,12,34,5,0,1
"70140","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-15,9,18,32,22,-1,0
"70141","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-16,3,27,42,12,-3,2
"70142","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-17,-5,30,34,6,-8,5
"70143","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-18,-13,27,12,-6,-14,8
"70144","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-19,-10,31,51,-3,-18,8
"70145","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-20,-14,18,44,-5,-20,9
"70146","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-21,-41,16,37,-13,-21,9
"70147","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-22,-52,-2,37,10,-25,7
"70148","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-23,-42,-1,12,-17,-36,14
"70149","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-24,-69,-21,-10,-37,-50,20
"70150","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-25,-71,-24,-8,-38,-59,23
"70151","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-26,-72,-24,-3,-39,-61,24
"70152","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-27,-73,-26,-36,-45,-62,25
"70153","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-28,-82,-39,-59,-60,-55,18
"70154","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-29,-85,-45,-61,-51,-52,14
"70155","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-30,-72,-28,-37,-50,-64,24
"70156","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-03-31,-71,-27,-20,-44,-65,24
"70157","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-01,-72,-29,-22,-46,-65,25
"70158","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-02,-72,-28,-25,-46,-65,25
"70159","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-03,-74,-28,-34,-48,-64,26
"70160","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-04,-80,-36,-48,-54,-55,18
"70161","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-05,-82,-40,-43,-40,-49,13
"70162","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-06,-70,-27,-21,-44,-64,24
"70163","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-07,-70,-26,-7,-34,-64,24
"70164","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-08,-70,-22,-12,-35,-65,24
"70165","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-09,-67,-16,-29,-40,-65,24
"70166","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-10,-76,-33,-34,-50,-79,30
"70167","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-11,-80,-32,-46,-44,-56,17
"70168","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-12,-89,-69,-48,-35,-57,14
"70169","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-13,-80,-40,-37,-60,-82,30
"70170","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-14,-67,-20,-7,-32,-64,23
"70171","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-15,-68,-24,-6,-34,-64,24
"70172","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-16,-69,-22,-5,-33,-64,25
"70173","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-17,-71,-28,-32,-43,-64,26
"70174","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-18,-78,-33,-45,-54,-51,17
"70175","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-19,-79,-38,-26,-31,-44,12
"70176","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-20,-67,-26,-12,-42,-61,23
"70177","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-21,-67,-23,-2,-40,-61,23
"70178","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-22,-69,-24,-2,-41,-61,24
"70179","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-23,-69,-23,-1,-42,-61,24
"70180","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-24,-69,-24,-17,-43,-60,24
"70181","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-25,-76,-30,-30,-46,-49,16
"70182","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-26,-78,-35,-21,-28,-46,12
"70183","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-27,-65,-24,0,-36,-58,22
"70184","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-28,-67,-24,-1,-41,-60,21
"70185","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-29,-70,-26,-21,-45,-60,24
"70186","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-04-30,-70,-20,-18,-40,-60,24
"70187","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-05-01,-72,-24,-38,-44,-60,25
"70188","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-05-02,-76,-27,-32,-44,-47,16
"70189","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-05-03,-78,-32,-20,-23,-42,12
"70190","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-05-04,-66,-24,-14,-37,-58,22
"70191","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-05-05,-66,-20,11,-31,-58,22
"70192","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-05-06,-65,-15,14,-30,-57,22
"70193","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-05-07,-61,-4,12,-32,-58,22
"70194","GB","United Kingdom","England","East Riding of Yorkshire","","GB-ERY",NA,2020-05-08,-75,-28,-3,-45,-76,28
